"";"Hydro_condition";"plot_ident";"plant_ident";"H_stem";"H_spike";"N_kernel";"W_kernel";"N_spikelet";"Ps";"Yield_Cor";"Bloc";"N_spike";"PMG";"H_plant";"Fertility_rate"
"612";"R";"1";10;90,6;7;32;1,97;21;77,1;604,1339842105;"E3";278,6377708978;55,1209341117598;97,6;100
"613";"R";"33";1;77,2;6,5;21;0,83;19;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;83,7;100
"614";"R";"33";2;74;7;45;2,44;21;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;81;100
"615";"R";"33";3;65;6;18;1,03;17;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;71;87,5
"616";"R";"33";4;71,9;5,5;17;0,85;17;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;77,4;NA
"617";"R";"33";5;82,8;7,6;31;1,61;19;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;90,4;100
"618";"R";"33";6;66;6,2;33;2,01;19;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;72,2;100
"619";"R";"33";7;72,5;6,5;40;1,59;19;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;79;75
"620";"R";"33";8;68,8;6,2;30;1,6;19;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;75;100
"621";"R";"33";9;67,3;5;19;1,02;15;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;72,3;100
"622";"R";"33";10;67,1;5,5;20;1,14;19;76,5;550,9911019737;"G3";229,1021671827;53,3500837520938;72,6;100
"623";"R";"45";1;76;6;24;1,41;21;78;610,2209052632;"H3";356,0371517028;53,0358632193495;82;87,5
"624";"R";"45";2;70,6;6;25;1,29;21;78;610,2209052632;"H3";356,0371517028;53,0358632193495;76,6;87,5
"625";"R";"45";3;75,3;7,3;23;1,11;21;78;610,2209052632;"H3";356,0371517028;53,0358632193495;82,6;100
"626";"R";"45";4;71,5;6,5;31;1,41;17;78;610,2209052632;"H3";356,0371517028;53,0358632193495;78;75
"627";"R";"45";5;68,5;7;26;1,49;21;78;610,2209052632;"H3";356,0371517028;53,0358632193495;75,5;75
"628";"R";"45";6;69,1;5;13;0,58;17;78;610,2209052632;"H3";356,0371517028;53,0358632193495;74,1;62,5
"629";"R";"45";7;76,6;10;52;3;23;78;610,2209052632;"H3";356,0371517028;53,0358632193495;86,6;100
"630";"R";"45";8;83;6;25;1,32;17;78;610,2209052632;"H3";356,0371517028;53,0358632193495;89;100
"631";"R";"45";9;75,2;8;47;2,4;21;78;610,2209052632;"H3";356,0371517028;53,0358632193495;83,2;100
"632";"R";"45";10;71;6;22;1,16;19;78;610,2209052632;"H3";356,0371517028;53,0358632193495;77;100
"633";"R";"37";1;78;6;6;0,28;15;77,6;526,3621875;"H3";286,3777089783;55;84;NA
"634";"R";"37";2;83;6,6;30;1,86;19;77,6;526,3621875;"H3";286,3777089783;55;89,6;100
"635";"R";"37";3;77,5;7,5;38;1,93;19;77,6;526,3621875;"H3";286,3777089783;55;85;100
"636";"R";"37";4;70,5;4,5;14;0,71;17;77,6;526,3621875;"H3";286,3777089783;55;75;NA
"637";"R";"37";5;73,8;7,3;40;2,39;21;77,6;526,3621875;"H3";286,3777089783;55;81,1;100
"638";"R";"37";6;77,9;7,5;27;1,34;19;77,6;526,3621875;"H3";286,3777089783;55;85,4;100
"639";"R";"37";7;79,5;5,1;28;0,97;17;77,6;526,3621875;"H3";286,3777089783;55;84,6;87,5
"640";"R";"37";8;76;6,8;30;1,45;21;77,6;526,3621875;"H3";286,3777089783;55;82,8;100
"641";"R";"37";9;52;7;24;1,26;17;77,6;526,3621875;"H3";286,3777089783;55;59;87,5
"642";"R";"37";10;68,6;4,6;15;0,86;15;77,6;526,3621875;"H3";286,3777089783;55;73,2;62,5
"643";"R";"28";1;72,6;7,5;28;1,32;21;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;80,1;100
"644";"R";"28";2;76,5;6,5;12;0,62;17;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;83;NA
"645";"R";"28";3;84,7;7,1;48;2,3;21;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;91,8;100
"646";"R";"28";4;71,2;7,5;38;2,12;23;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;78,7;100
"647";"R";"28";5;72,5;8,5;37;1,97;25;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;81;100
"648";"R";"28";6;75;8,5;42;2,21;25;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;83,5;100
"649";"R";"28";7;60;5,5;19;0,62;19;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;65,5;87,5
"650";"R";"28";8;74,5;8,5;45;2,12;17;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;83;100
"651";"R";"28";9;77,2;7,5;50;2;21;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;84,7;100
"652";"R";"28";10;NA;6;23;0,84;19;76,6;454,4101052632;"G3";250,7739938081;50,767306088407;NA;100
"653";"R";"34";1;72,5;6;28;1,61;17;78,2;552,410625;"G3";281,73374613;54,247491638796;78,5;100
"654";"R";"34";2;89;7,9;37;2,09;23;78,2;552,410625;"G3";281,73374613;54,247491638796;96,9;100
"655";"R";"34";3;83,9;7,5;28;1,46;23;78,2;552,410625;"G3";281,73374613;54,247491638796;91,4;100
"656";"R";"34";4;76;7,5;29;1,62;17;78,2;552,410625;"G3";281,73374613;54,247491638796;83,5;87,5
"657";"R";"34";5;64;7,5;43;2,01;19;78,2;552,410625;"G3";281,73374613;54,247491638796;71,5;100
"658";"R";"34";6;67,9;6;25;1,21;19;78,2;552,410625;"G3";281,73374613;54,247491638796;73,9;100
"659";"R";"34";7;83;6,5;19;0,92;19;78,2;552,410625;"G3";281,73374613;54,247491638796;89,5;75
"660";"R";"34";8;81;8,1;47;2,54;23;78,2;552,410625;"G3";281,73374613;54,247491638796;89,1;100
"661";"R";"34";9;75,5;7,5;44;2,34;23;78,2;552,410625;"G3";281,73374613;54,247491638796;83;100
"662";"R";"34";10;76,1;8;23;1,16;19;78,2;552,410625;"G3";281,73374613;54,247491638796;84,1;62,5
"663";"R";"25";1;68,8;5,5;22;1,41;17;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;74,3;87,5
"664";"R";"25";2;82,5;8;44;2,62;23;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;90,5;100
"665";"R";"25";3;86;6;19;0,97;19;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;92;75
"666";"R";"25";4;71;5,5;18;0,79;17;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;76,5;62,5
"667";"R";"25";5;75,7;6;35;1,51;17;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;81,7;100
"668";"R";"25";6;70,5;5,3;21;0,75;19;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;75,8;75
"669";"R";"25";7;69;7,5;30;1,25;21;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;76,5;100
"670";"R";"25";8;75,6;6,3;24;1,36;21;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;81,9;100
"671";"R";"25";9;75,8;7,6;36;1,97;23;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;83,4;100
"672";"R";"25";10;65,8;4,9;14;0,57;15;78,2;707,1602631579;"G3";263,1578947368;53,5936188077246;70,7;75
"673";"R";"40";1;74,2;5,4;17;0,56;17;78;574,9638947368;"H3";315,7894736842;52,9382303839733;79,6;87,5
"674";"R";"40";2;62;5,5;17;0,73;17;78;574,9638947368;"H3";315,7894736842;52,9382303839733;67,5;75
"675";"R";"40";3;72;7;44;2,06;19;78;574,9638947368;"H3";315,7894736842;52,9382303839733;79;75
"676";"R";"40";4;69,1;7,5;38;2,17;23;78;574,9638947368;"H3";315,7894736842;52,9382303839733;76,6;100
"677";"R";"40";5;81,2;6;38;1,57;17;78;574,9638947368;"H3";315,7894736842;52,9382303839733;87,2;100
"678";"R";"40";6;81;8;36;1,85;21;78;574,9638947368;"H3";315,7894736842;52,9382303839733;89;100
"679";"R";"40";7;74,5;7,5;24;1,07;19;78;574,9638947368;"H3";315,7894736842;52,9382303839733;82;87,5
"680";"R";"40";8;77;6;15;0,93;17;78;574,9638947368;"H3";315,7894736842;52,9382303839733;83;100
"681";"R";"40";9;85,5;7;44;2,11;23;78;574,9638947368;"H3";315,7894736842;52,9382303839733;92,5;100
"682";"R";"40";10;83,6;6,7;31;1,78;23;78;574,9638947368;"H3";315,7894736842;52,9382303839733;90,3;100
"683";"R";"30";1;67;6;38;1,47;19;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;73;100
"684";"R";"30";2;67,6;6;32;1,22;21;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;73,6;62,5
"685";"R";"30";3;82,9;7,7;41;2,07;23;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;90,6;100
"686";"R";"30";4;71,5;6;34;1,19;17;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;77,5;75
"687";"R";"30";5;52,3;6;19;0,87;19;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;58,3;87,5
"688";"R";"30";6;71,6;6,7;26;1,21;19;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;78,3;100
"689";"R";"30";7;71,5;6;25;1,26;21;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;77,5;100
"690";"R";"30";8;85,1;6,5;32;1,75;21;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;91,6;100
"691";"R";"30";9;71;6,5;23;0,86;21;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;77,5;100
"692";"R";"30";10;81;7;62;2,38;21;78,1;480,4546526316;"G3";294,1176470588;50,2633889376646;88;100
"693";"R";"18";1;96,4;6,5;33;1,96;23;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;102,9;100
"694";"R";"18";2;79,4;6;21;1,06;19;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;85,4;87,5
"695";"R";"18";3;70,7;6,5;32;1,53;21;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;77,2;100
"696";"R";"18";4;73,2;6,5;10;0,37;17;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;79,7;NA
"697";"R";"18";5;79,5;7,1;29;1,75;25;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;86,6;75
"698";"R";"18";6;84,3;9;22;1,28;19;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;93,3;87,5
"699";"R";"18";7;69,9;5;18;0,9;17;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;74,9;100
"700";"R";"18";8;67,4;7,9;38;1,86;21;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;75,3;87,5
"701";"R";"18";9;76,4;7;37;1,54;21;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;83,4;100
"702";"R";"18";10;89;6,5;27;1,47;21;76,9;657,1705263158;"F3";320,4334365325;52,9840737636211;95,5;100
"703";"R";"44";1;75,9;7;13;0,71;21;77,3;418,883985;"H3";205,8823529412;54,4053601340033;82,9;62,5
"704";"R";"44";2;74,1;6;22;1,12;19;77,3;418,883985;"H3";205,8823529412;54,4053601340033;80,1;87,5
"705";"R";"44";3;90;8;40;1,66;21;77,3;418,883985;"H3";205,8823529412;54,4053601340033;98;87,5
"706";"R";"44";4;67,5;6,5;32;1,4;19;77,3;418,883985;"H3";205,8823529412;54,4053601340033;74;100
"707";"R";"44";5;87,9;6;21;0,95;21;77,3;418,883985;"H3";205,8823529412;54,4053601340033;93,9;NA
"708";"R";"44";6;83,6;7,5;23;1,11;21;77,3;418,883985;"H3";205,8823529412;54,4053601340033;91,1;75
"709";"R";"44";7;69,2;7;33;1,12;23;77,3;418,883985;"H3";205,8823529412;54,4053601340033;76,2;87,5
"710";"R";"44";8;74,5;6;25;1,38;15;77,3;418,883985;"H3";205,8823529412;54,4053601340033;80,5;100
"711";"R";"44";9;84,5;8;31;1,49;23;77,3;418,883985;"H3";205,8823529412;54,4053601340033;92,5;100
"712";"R";"44";10;74;8,5;45;2,24;21;77,3;418,883985;"H3";205,8823529412;54,4053601340033;82,5;100
"713";"R";"10";1;81,9;9;30;1,38;23;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;90,9;100
"714";"R";"10";2;63,4;6;34;1,43;21;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;69,4;87,5
"715";"R";"10";3;82,5;6,5;39;1,79;19;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;89;100
"716";"R";"10";4;70,4;6;32;1,67;19;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;76,4;100
"717";"R";"10";5;75,7;7;47;2,61;19;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;82,7;100
"718";"R";"10";6;72,5;7;41;2,51;25;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;79,5;87,5
"719";"R";"10";7;93,6;7;35;1,82;21;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;100,6;100
"720";"R";"10";8;72,1;5,6;29;1,48;19;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;77,7;100
"721";"R";"10";9;87,4;6,5;33;2,06;23;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;93,9;100
"722";"R";"10";10;58;6,9;22;1,23;21;77,3;592,9637494737;"E3";301,8575851393;55,5973266499582;64,9;87,5
"723";"R";"32";1;63,4;6;36;1,36;19;76;395,7475164474;"G3";201,2383900929;49,3265993265993;69,4;75
"724";"R";"32";2;71;5;20;0,99;17;76;395,7475164474;"G3";201,2383900929;49,3265993265993;76;87,5
"725";"R";"32";3;65;6,6;32;1,58;19;76;395,7475164474;"G3";201,2383900929;49,3265993265993;71,6;62,5
"726";"R";"32";4;81,5;6,1;18;0,32;17;76;395,7475164474;"G3";201,2383900929;49,3265993265993;87,6;100
"727";"R";"32";5;78,9;6;27;1,26;17;76;395,7475164474;"G3";201,2383900929;49,3265993265993;84,9;75
"728";"R";"32";6;59,1;6;17;0,73;19;76;395,7475164474;"G3";201,2383900929;49,3265993265993;65,1;87,5
"729";"R";"32";7;80,4;7;26;1,58;17;76;395,7475164474;"G3";201,2383900929;49,3265993265993;87,4;87,5
"730";"R";"32";8;73,8;6;25;1,22;17;76;395,7475164474;"G3";201,2383900929;49,3265993265993;79,8;100
"731";"R";"32";9;65;7,8;50;2,05;21;76;395,7475164474;"G3";201,2383900929;49,3265993265993;72,8;100
"732";"R";"32";10;63,5;6;43;1,57;21;76;395,7475164474;"G3";201,2383900929;49,3265993265993;69,5;100
"733";"R";"39";1;74,1;6,5;25;1,32;19;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;80,6;100
"734";"R";"39";2;73,4;6;19;0,9;17;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;79,4;62,5
"735";"R";"39";3;71;6,5;31;1,21;21;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;77,5;NA
"736";"R";"39";4;84,1;7;28;1,55;21;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;91,1;62,5
"737";"R";"39";5;70,5;6,5;43;1,75;19;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;77;100
"738";"R";"39";6;78;6,5;29;1,54;21;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;84,5;87,5
"739";"R";"39";7;67,5;8;38;1,99;25;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;75,5;100
"740";"R";"39";8;60;6,5;29;1,21;17;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;66,5;100
"741";"R";"39";9;83,1;7;25;1,32;19;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;90,1;100
"742";"R";"39";10;87,9;7;48;2,45;21;77,6;505,4321105263;"H3";301,8575851393;50,8597662771285;94,9;100
"743";"R";"5";1;76,3;7,3;20;0,88;21;75,9;656,5170631579;"E3";325,0773993808;52,7;83,6;75
"744";"R";"5";2;71,2;6;19;0,78;17;75,9;656,5170631579;"E3";325,0773993808;52,7;77,2;62,5
"745";"R";"5";3;76,5;7;37;1,95;23;75,9;656,5170631579;"E3";325,0773993808;52,7;83,5;100
"746";"R";"5";4;59,5;7;29;1,67;21;75,9;656,5170631579;"E3";325,0773993808;52,7;66,5;87,5
"747";"R";"5";5;83,5;8,5;45;1,81;21;75,9;656,5170631579;"E3";325,0773993808;52,7;92;75
"748";"R";"5";6;82,7;6,5;22;0,98;17;75,9;656,5170631579;"E3";325,0773993808;52,7;89,2;100
"749";"R";"5";7;89;9;48;1,94;21;75,9;656,5170631579;"E3";325,0773993808;52,7;98;100
"750";"R";"5";8;85,3;9;35;1,7;21;75,9;656,5170631579;"E3";325,0773993808;52,7;94,3;100
"751";"R";"5";9;76;8;30;1,42;19;75,9;656,5170631579;"E3";325,0773993808;52,7;84;87,5
"752";"R";"5";10;82,5;7;31;1,2;21;75,9;656,5170631579;"E3";325,0773993808;52,7;89,5;62,5
"753";"R";"4";1;73,3;6;41;1,9;21;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;79,3;100
"754";"R";"4";2;76,5;4,5;7;0,32;17;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;81;75
"755";"R";"4";3;65,2;6;15;0,81;17;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;71,2;100
"756";"R";"4";4;80,6;7,3;28;1,23;21;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;87,9;100
"757";"R";"4";5;86;8;39;2,26;25;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;94;100
"758";"R";"4";6;71;6;32;1,64;19;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;77;100
"759";"R";"4";7;72,3;5;21;0,84;17;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;77,3;75
"760";"R";"4";8;64,5;7;27;1,26;19;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;71,5;100
"761";"R";"4";9;70,5;6;18;0,79;17;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;76,5;87,5
"762";"R";"4";10;71;6;26;1,49;15;76,6;602,0199157895;"E3";321,9814241486;53,2916666666667;77;100
"763";"R";"20";1;69,5;8;28;1,37;25;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;77,5;100
"764";"R";"20";2;72,6;6;23;1,28;17;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;78,6;100
"765";"R";"20";3;86,1;9;36;1,97;25;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;95,1;100
"766";"R";"20";4;70,5;8;47;2,16;23;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;78,5;100
"767";"R";"20";5;63,1;9;49;2,61;23;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;72,1;100
"768";"R";"20";6;83,9;9;44;2,37;23;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;92,9;100
"769";"R";"20";7;53,9;5,5;13;0,6;19;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;59,4;75
"770";"R";"20";8;79;7;26;1,34;21;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;86;100
"771";"R";"20";9;76,3;5,9;16;0,88;17;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;82,2;75
"772";"R";"20";10;60;7;26;1,2;19;77,7;427,3791631579;"F3";312,693498452;54,2583333333333;67;100
"773";"R";"15";1;52,7;6;22;1,04;21;77,9;694,637125;"F3";366,8730650155;52,3494983277592;58,7;100
"774";"R";"15";2;84;8,5;29;1,89;23;77,9;694,637125;"F3";366,8730650155;52,3494983277592;92,5;100
"775";"R";"15";3;78,5;7,6;33;1,58;23;77,9;694,637125;"F3";366,8730650155;52,3494983277592;86,1;100
"776";"R";"15";4;81;4,9;14;0,62;19;77,9;694,637125;"F3";366,8730650155;52,3494983277592;85,9;87,5
"777";"R";"15";5;77,5;9,1;29;1,32;23;77,9;694,637125;"F3";366,8730650155;52,3494983277592;86,6;87,5
"778";"R";"15";6;72,6;7,5;23;0,99;23;77,9;694,637125;"F3";366,8730650155;52,3494983277592;80,1;87,5
"779";"R";"15";7;72,6;7,9;24;1,08;23;77,9;694,637125;"F3";366,8730650155;52,3494983277592;80,5;100
"780";"R";"15";8;89;7,7;35;1,66;21;77,9;694,637125;"F3";366,8730650155;52,3494983277592;96,7;87,5
"781";"R";"15";9;79,2;6;38;1,8;23;77,9;694,637125;"F3";366,8730650155;52,3494983277592;85,2;100
"782";"R";"15";10;64,3;6;17;1,04;19;77,9;694,637125;"F3";366,8730650155;52,3494983277592;70,3;100
"783";"R";"29";1;61,2;7;29;1,34;21;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;68,2;87,5
"784";"R";"29";2;68;6,5;31;1,55;21;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;74,5;75
"785";"R";"29";3;73,5;7,1;51;2,38;21;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;80,6;75
"786";"R";"29";4;77;6,7;25;1,34;21;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;83,7;100
"787";"R";"29";5;68,5;6;30;1,57;19;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;74,5;87,5
"788";"R";"29";6;72,5;8;40;2,13;23;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;80,5;87,5
"789";"R";"29";7;83;7;36;1,93;21;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;90;87,5
"790";"R";"29";8;72,5;8,1;54;2,99;21;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;80,6;87,5
"791";"R";"29";9;78,5;7;31;1,81;19;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;85,5;100
"792";"R";"29";10;71,8;7,5;32;1,63;21;75,5;462,2693894737;"G3";272,4458204334;52,7186963979417;79,3;100
"793";"R";"41";1;86,6;8,6;32;1,58;23;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;95,2;100
"794";"R";"41";2;92,5;8,5;33;1,69;21;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;101;100
"795";"R";"41";3;84,4;7,2;43;1,89;21;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;91,6;87,5
"796";"R";"41";4;70,3;6;24;1,11;21;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;76,3;75
"797";"R";"41";5;65,5;7;19;0,94;19;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;72,5;87,5
"798";"R";"41";6;71,6;7,6;28;1,35;21;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;79,2;100
"799";"R";"41";7;87,4;8,1;33;2,18;23;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;95,5;100
"800";"R";"41";8;93,1;8;38;2,18;21;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;101,1;75
"801";"R";"41";9;89,9;9;36;1,99;23;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;98,9;100
"802";"R";"41";10;78,5;7,5;38;2,07;23;76,3;526,9542105263;"H3";297,213622291;53,2443703085905;86;100
"803";"R";"2";1;70;6,1;20;1,18;19;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;76,1;87,5
"804";"R";"2";2;77;6;23;1,45;21;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;83;62,5
"805";"R";"2";3;78,2;7,6;31;1,59;19;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;85,8;87,5
"806";"R";"2";4;76,5;7,1;24;1,29;21;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;83,6;100
"807";"R";"2";5;82;8,5;50;2,9;21;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;90,5;87,5
"808";"R";"2";6;82,4;6,8;36;2,06;21;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;89,2;100
"809";"R";"2";7;72;7,2;43;2,58;23;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;79,2;87,5
"810";"R";"2";8;59,4;6;11;0,64;19;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;65,4;75
"811";"R";"2";9;79,7;7,6;47;2,05;23;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;87,3;100
"812";"R";"2";10;78;6,5;36;2,24;21;75,2;612,3313052632;"E3";348,2972136223;54,3536280233528;84,5;87,5
"813";"R";"17";1;74,8;7;33;1,73;21;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;81,8;100
"814";"R";"17";2;79,2;5,5;30;1,6;19;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;84,7;100
"815";"R";"17";3;72,9;6,5;33;2,02;19;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;79,4;100
"816";"R";"17";4;86,9;7;27;1,43;19;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;93,9;100
"817";"R";"17";5;68,7;5,3;19;1,17;19;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;74;100
"818";"R";"17";6;84;6,5;17;1,1;19;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;90,5;75
"819";"R";"17";7;60,7;6,5;35;1,31;19;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;67,2;100
"820";"R";"17";8;65,4;5,9;24;1,17;17;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;71,3;100
"821";"R";"17";9;75,5;7;49;2,81;23;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;82,5;100
"822";"R";"17";10;74,6;6;32;1,96;23;77,3;621,2830547368;"F3";339,0092879257;52,8668363019508;80,6;100
"823";"R";"42";1;65,9;8,2;37;1,84;23;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;74,1;100
"824";"R";"42";2;55,9;6,8;21;0,98;19;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;62,7;62,5
"825";"R";"42";3;78,5;5,5;25;1,32;15;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;84;100
"826";"R";"42";4;78;6,9;33;1,75;21;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;84,9;100
"827";"R";"42";5;73;5,6;23;1,43;19;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;78,6;100
"828";"R";"42";6;68,2;7,2;26;1,35;21;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;75,4;100
"829";"R";"42";7;77,6;7;NA;3,05;23;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;84,6;100
"830";"R";"42";8;83,1;6,5;31;1,66;21;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;89,6;75
"831";"R";"42";9;69,2;7,3;30;1,63;19;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;76,5;75
"832";"R";"42";10;71;5,1;26;1,43;NA;76,5;549,3489473684;"H3";314,2414860681;50,7118927973199;76,1;100
"833";"R";"35";1;74,7;5,9;28;1,58;19;77,7;499,8946989474;"G3";294,1176470588;52,4123539232053;80,6;87,5
"834";"R";"35";2;67,6;6,4;36;2,31;21;77,7;499,8946989474;"G3";294,1176470588;52,4123539232053;74;87,5
"835";"R";"35";3;69,6;7;35;1,44;21;77,7;499,8946989474;"G3";294,1176470588;52,4123539232053;76,6;100
"836";"R";"35";4;61,6;5,9;20;0,91;19;77,7;499,8946989474;"G3";294,1176470588;52,4123539232053;67,5;75
"837";"R";"35";5;77,7;6,2;27;1,26;19;77,7;499,8946989474;"G3";294,1176470588;52,4123539232053;83,9;100
"838";"R";"35";6;71;6;23;1,34;21;77,7;499,8946989474;"G3";294,1176470588;52,4123539232053;77;75
"839";"R";"35";7;76,6;8,5;36;2,23;21;77,7;499,8946989474;"G3";294,1176470588;52,4123539232053;85,1;87,5
"840";"R";"35";8;89;7,8;34;1,68;23;77,7;499,8946989474;"G3";294,1176470588;52,4123539232053;96,8;100
