Hydro_condition;plot_ident;Yield_Cor;Bloc;N_spike_m2;PMG;N_kernel_m2;mean_N_kernel;mean_W_kernel;mean_N_spikelet;mean_Fertility_rate;mean_L_stem;mean_H_spike;mean_H_plant;V_H_plant
R;30;480,4546526;G3;294,1176471;50,26338894;12895040,37;33,2;1,428;20,2;92,5;72,15;6,44;78,59;97,05877778
R;18;657,1705263;F3;320,4334365;52,98407376;8169713,359;26,7;1,372;20,4;93,05555556;78,62;6,8;85,42;87,56622222
R;44;418,883985;H3;205,8823529;54,40536013;3883169,935;28,5;1,318;20,4;88,88888889;78,12;7,05;85,17;66,08233333
R;10;592,9637495;E3;301,8575851;55,59732665;4389862,838;34,2;1,798;21;96,25;75,75;6,75;82,5;124,56
R;32;395,7475164;G3;201,2383901;49,32659933;4807430,767;29,4;1,266;18,4;87,5;70,16;6,25;76,41;65,63433333
R;39;505,4321105;H3;301,8575851;50,85976628;7213508,468;31,5;1,524;20;90,27777778;74,96;6,75;81,71;72,96766667
R;5;656,5170632;E3;325,0773994;52,7;10384361,01;31,6;1,433;20,2;85;78,25;7,53;85,78;82,73288889
R;4;602,0199158;E3;321,9814241;53,29166667;11546761,15;25,4;1,254;18,8;93,75;73,09;6,18;79,27;49,089
R;20;427,3791632;F3;312,6934985;54,25833333;15705195;30,8;1,578;21,2;95;71,49;7,44;78,93;121,1156667
R;15;694,637125;F3;366,873065;52,34949833;8141553,164;26,4;1,302;21,8;95;75,14;7,12;82,26;119,4137778
R;29;462,2693895;G3;272,4458204;52,7186964;6902260,69;35,9;1,867;20,8;88,75;72,65;7,09;79,74;38,27377778
R;41;526,9542105;H3;297,2136223;53,24437031;4499243,739;32,4;1,698;21,6;92,5;81,98;7,75;89,73;112,1245556
R;2;612,3313053;E3;348,2972136;54,35362802;19314050,98;32,1;1,798;20,8;87,5;75,52;6,94;82,46;54,72488889
R;17;621,2830547;F3;339,0092879;52,8668363;9486609,907;29,9;1,63;19,8;97,5;74,27;6,32;80,59;67,53433333
